,brand,seg,model,YM,title,sold
158,592,O~,3021,201112,Dakota,1
159,307,~C,2132,201201,모닝,5815
160,307,~C,2183,201201,레이 (2017),4496
161,312,~C,2138,201201,스파크,3470
162,316,~C,2049,201201,다마스,413
163,316,~C,2052,201201,라보,176
164,303,PC1,2126,201201,엑센트,1749
165,307,PC1,2175,201201,프라이드,1517
166,367,PC1,2437,201201,Mini,159
167,312,PC1,2143,201201,아베오,135
168,459,PC1,2537,201201,C30,30
169,367,PC1,2448,201201,Coupe,23
170,413,PC1,2522,201201,207,23
171,362,PC1,2782,201201,1 Series,19
172,367,PC1,2442,201201,Clubman,10
173,500,PC1,2271,201201,CR-Z,7
174,367,PC1,2440,201201,Convertible,6
175,376,PC1,2872,201201,New Beetle,3
176,303,PC2,2120,201201,아반떼,7160
177,303,PC2,2177,201201,i30,1723
178,307,PC2,2061,201201,포르테,1659
179,321,PC2,2089,201201,뉴 SM3,1580
180,312,PC2,2135,201201,크루즈,1119
181,376,PC2,2314,201201,Golf,449
182,303,PC2,2152,201201,벨로스터,396
183,376,PC2,2328,201201,Jetta,257
184,371,PC2,2408,201201,A4,253
185,491,PC2,2243,201201,Prius,157
186,303,PC2,2200,201201,아반떼 하이브리드,95
187,307,PC2,2092,201201,포르테 하이브리드,75
188,413,PC2,2525,201201,308,50
189,486,PC2,2237,201201,CT,47
190,500,PC2,2266,201201,CIVIC,22
191,371,PC2,2405,201201,A3,18
192,486,PC2,2232,201201,IS,14
193,500,PC2,2269,201201,INSIGHT,9
194,491,PC2,2252,201201,Corolla,5
195,349,PC2,2380,201201,B-Class,3
196,569,PC2,2474,201201,Focus,2
197,303,PC3,2103,201201,쏘나타(YF),6013
198,307,PC3,2118,201201,K5,5064
199,321,PC3,2112,201201,뉴 SM5 신형,3288
200,312,PC3,2180,201201,말리부,957
201,303,PC3,2157,201201,쏘나타 하이브리드,680
202,491,PC3,2240,201201,Camry,545
203,303,PC3,2172,201201,i40,544
204,307,PC3,2160,201201,K5 하이브리드,541
205,349,PC3,2383,201201,C-Class,293
206,362,PC3,2789,201201,3 Series,214
207,376,PC3,2863,201201,CC,177
208,486,PC3,2229,201201,ES,160
209,509,PC3,2274,201201,G,64
210,394,PC3,2568,201201,XF,59
211,413,PC3,2528,201201,508,47
212,528,PC3,2668,201201,Legacy,40
213,569,PC3,3059,201201,FUSION,37
214,546,PC3,2499,201201,CTS,24
215,371,PC3,2411,201201,A5,15
216,459,PC3,2542,201201,S60,13
217,459,PC3,2551,201201,V60,3
218,349,PC3,2837,201201,CL-Class,2
219,569,PC3,2477,201201,FUSION,0
220,303,PC4,2129,201201,그랜저HG,6984
221,362,PC4,2351,201201,5 Series,1412
222,307,PC4,2106,201201,K7,1227
223,321,PC4,2169,201201,SM7,850
224,349,PC4,2385,201201,E-Class,606
225,316,PC4,2123,201201,알페온,518
226,371,PC4,2414,201201,A6,464
227,362,PC4,2366,201201,Gran Turismo,214
228,349,PC4,2394,201201,CLS-Class,179
229,500,PC4,2260,201201,Accord,134
230,371,PC4,2417,201201,A7,125
231,573,PC4,2494,201201,MKZ,12
232,362,PC4,2354,201201,6 Series,8
233,546,PC4,2502,201201,STS,4
234,514,PC4,2300,201201,ALTIMA,1
235,303,PC5,2043,201201,제네시스 (BH),1567
236,303,PC5,2075,201201,에쿠스,955
237,307,PC5,2081,201201,오피러스,695
238,326,PC5,2166,201201,체어맨 W,212
239,371,PC5,2420,201201,A8,142
240,583,PC5,2460,201201,300C,125
241,326,PC5,2041,201201,체어맨 H  뉴 클래식,113
242,349,PC5,2388,201201,S-Class,110
243,573,PC5,2947,201201,MKS,109
244,362,PC5,2357,201201,7 Series,105
245,569,PC5,2482,201201,Taurus,55
246,486,PC5,2713,201201,LS,37
247,459,PC5,2545,201201,S80,31
248,394,PC5,2562,201201,XJ,26
249,509,PC5,2283,201201,M,24
250,376,PC5,2343,201201,Phaeton,17
251,390,PC5,2705,201201,New Continental,5
252,385,PC5,2702,201201,Ghost,2
253,385,PC5,2699,201201,Phantom,1
254,307,RB~,2183,201201,레이 (2017),4496
255,307,RB~,2066,201201,쏘울,831
256,514,RB~,2297,201201,CUBE,196
257,307,RU2,2115,201201,스포티지 R,3561
258,303,RU2,2100,201201,투싼 ix,3335
259,326,RU2,2146,201201,코란도 C,817
260,376,RU2,2337,201201,Tiguan,195
261,362,RU2,2368,201201,X1,73
262,587,RU2,2468,201201,Wrangler,72
263,587,RU2,2471,201201,Compass,70
264,367,RU2,2445,201201,Countryman,49
265,399,RU2,2579,201201,Range Rover Evoque,41
266,569,RU2,2940,201201,ESCAPE,36
267,399,RU2,2574,201201,Freelander2,9
268,528,RU2,2665,201201,Forester,8
269,307,RU3,2078,201201,쏘렌토 R,2576
270,303,RU3,1967,201201,싼타페 (CM),1872
271,321,RU3,2163,201201,QM5,489
272,312,RU3,2155,201201,캡티바,283
273,500,RU3,2263,201201,CR-V,181
274,371,RU3,2425,201201,Q5,97
275,362,RU3,2371,201201,X3,86
276,349,RU3,2397,201201,GLK-Class,70
277,381,RU3,2639,201201,Cayenne,65
278,486,RU3,2234,201201,RX,36
279,399,RU3,2582,201201,RANGE ROVER SPORT,31
280,459,RU3,2556,201201,XC70,28
281,399,RU3,2576,201201,Discovery,27
282,459,RU3,2554,201201,XC60,24
283,528,RU3,2670,201201,Outback,23
284,491,RU3,2249,201201,RAV4,19
285,546,RU3,2508,201201,SRX,15
286,509,RU3,2289,201201,FX,5
287,514,RU3,2303,201201,MURANO,4
288,514,RU3,2306,201201,ROGUE,4
289,509,RU3,2286,201201,EX,1
290,307,RU5,2032,201201,모하비,466
291,303,RU5,2001,201201,베라크루즈,421
292,326,RU5,2058,201201,슈퍼 렉스턴,178
293,362,RU5,2377,201201,X6,100
294,587,RU5,2465,201201,Grand Cherokee,94
295,569,RU5,2488,201201,Explorer,74
296,362,RU5,2374,201201,X5,70
297,399,RU5,2585,201201,THE RANGE ROVER,35
298,573,RU5,2497,201201,MKX,28
299,371,RU5,2428,201201,Q7,22
300,376,RU5,2340,201201,Touareg,21
301,349,RU5,2391,201201,M-Class,10
302,546,RU5,2511,201201,Escalade,5
303,509,RU5,2291,201201,QX,1
304,459,RU5,2559,201201,XC90,1
305,307,RM~,2109,201201,카니발 R,2189
306,312,RM~,2140,201201,올란도,965
307,307,RM~,1984,201201,뉴 카렌스,260
308,491,RM~,2246,201201,Sienna,68
309,413,RM~,2531,201201,3008,54
310,583,RM~,2462,201201,Grand Voyager,5
311,303,O~,1901,201201,포터2,5933
312,307,O~,1907,201201,봉고3 트럭,2949
313,303,O~,2009,201201,스타렉스,2556
314,326,O~,2189,201201,코란도 스포츠,1478
315,316,O~,2049,201201,다마스,413
316,316,O~,2052,201201,라보,176
317,592,O~,3021,201201,Dakota,2
318,307,~C,2132,201202,모닝,7549
319,307,~C,2183,201202,레이 (2017),5639
320,312,~C,2138,201202,스파크,4305
321,316,~C,2049,201202,다마스,541
322,316,~C,2052,201202,라보,358
323,303,PC1,2126,201202,엑센트,2371
324,307,PC1,2175,201202,프라이드,1640
325,367,PC1,2437,201202,Mini,289
326,312,PC1,2143,201202,아베오,237
327,376,PC1,2326,201202,Scirocco,92
328,413,PC1,2522,201202,207,23
329,367,PC1,2448,201202,Coupe,21
330,362,PC1,2782,201202,1 Series,19
331,500,PC1,2271,201202,CR-Z,10
332,367,PC1,2440,201202,Convertible,10
333,459,PC1,2537,201202,C30,10
334,367,PC1,2442,201202,Clubman,9
335,376,PC1,2872,201202,New Beetle,1
336,303,PC2,2120,201202,아반떼,9230
337,321,PC2,2089,201202,뉴 SM3,1467
338,307,PC2,2061,201202,포르테,1466
339,312,PC2,2135,201202,크루즈,1465
340,303,PC2,2177,201202,i30,1293
341,376,PC2,2314,201202,Golf,499
342,303,PC2,2152,201202,벨로스터,326
343,376,PC2,2328,201202,Jetta,288
344,371,PC2,2408,201202,A4,215
345,500,PC2,2269,201202,INSIGHT,168
346,491,PC2,2243,201202,Prius,131
347,303,PC2,2200,201202,아반떼 하이브리드,75
348,413,PC2,2525,201202,308,57
349,486,PC2,2237,201202,CT,38
350,307,PC2,2092,201202,포르테 하이브리드,34
351,500,PC2,2266,201202,CIVIC,28
352,486,PC2,2232,201202,IS,12
353,349,PC2,2380,201202,B-Class,8
354,371,PC2,2405,201202,A3,7
355,569,PC2,2474,201202,Focus,2
356,491,PC2,2252,201202,Corolla,2
357,307,PC3,2118,201202,K5,6320
358,303,PC3,2103,201202,쏘나타(YF),5612
359,321,PC3,2112,201202,뉴 SM5 신형,3185
360,303,PC3,2172,201202,i40,1641
361,303,PC3,2157,201202,쏘나타 하이브리드,1029
362,491,PC3,2240,201202,Camry,855
363,312,PC3,2180,201202,말리부,809
364,307,PC3,2160,201202,K5 하이브리드,750
365,349,PC3,2383,201202,C-Class,268
366,362,PC3,2789,201202,3 Series,235
367,376,PC3,2863,201202,CC,177
368,486,PC3,2229,201202,ES,133
369,394,PC3,2568,201202,XF,80
370,509,PC3,2274,201202,G,58
371,413,PC3,2528,201202,508,56
372,546,PC3,2499,201202,CTS,37
373,528,PC3,2668,201202,Legacy,23
374,569,PC3,3059,201202,FUSION,21
375,371,PC3,2411,201202,A5,21
376,459,PC3,2542,201202,S60,12
377,349,PC3,2837,201202,CL-Class,5
378,459,PC3,2551,201202,V60,1
379,569,PC3,2477,201202,FUSION,0
380,303,PC4,2129,201202,그랜저HG,9337
381,307,PC4,2106,201202,K7,1369
382,362,PC4,2351,201202,5 Series,932
383,316,PC4,2123,201202,알페온,809
384,321,PC4,2169,201202,SM7,709
385,349,PC4,2385,201202,E-Class,621
386,371,PC4,2414,201202,A6,359
387,500,PC4,2260,201202,Accord,155
388,371,PC4,2417,201202,A7,152
389,362,PC4,2366,201202,Gran Turismo,144
390,349,PC4,2394,201202,CLS-Class,129
391,514,PC4,2300,201202,ALTIMA,23
392,573,PC4,2494,201202,MKZ,13
393,362,PC4,2354,201202,6 Series,8
394,546,PC4,2502,201202,STS,6
395,307,RB~,2183,201202,레이 (2017),5639
396,307,RB~,2066,201202,쏘울,707
397,514,RB~,2297,201202,CUBE,149
398,307,RU2,2115,201202,스포티지 R,3905
399,303,RU2,2100,201202,투싼 ix,2754
400,326,RU2,2146,201202,코란도 C,887
401,367,RU2,2445,201202,Countryman,196
402,376,RU2,2337,201202,Tiguan,160
403,362,RU2,2368,201202,X1,60
404,587,RU2,2468,201202,Wrangler,47
405,587,RU2,2471,201202,Compass,26
406,399,RU2,2579,201202,Range Rover Evoque,18
407,569,RU2,2940,201202,ESCAPE,13
408,399,RU2,2574,201202,Freelander2,9
409,528,RU2,2665,201202,Forester,8
410,307,RU3,2078,201202,쏘렌토 R,2651
411,303,RU3,1967,201202,싼타페 (CM),1333
412,312,RU3,2155,201202,캡티바,520
413,321,RU3,2163,201202,QM5,497
414,500,RU3,2263,201202,CR-V,115
415,349,RU3,2397,201202,GLK-Class,92
416,371,RU3,2425,201202,Q5,86
417,381,RU3,2639,201202,Cayenne,49
418,362,RU3,2371,201202,X3,47
419,399,RU3,2576,201202,Discovery,43
420,486,RU3,2234,201202,RX,35
421,459,RU3,2554,201202,XC60,22
422,509,RU3,2289,201202,FX,17
423,491,RU3,2249,201202,RAV4,17
424,459,RU3,2556,201202,XC70,15
425,528,RU3,2670,201202,Outback,14
426,399,RU3,2582,201202,RANGE ROVER SPORT,12
427,546,RU3,2508,201202,SRX,10
428,514,RU3,2306,201202,ROGUE,6
429,514,RU3,2303,201202,MURANO,4
430,303,RU5,2001,201202,베라크루즈,985
431,307,RU5,2032,201202,모하비,678
432,362,RU5,2377,201202,X6,71
433,587,RU5,2465,201202,Grand Cherokee,63
434,362,RU5,2374,201202,X5,54
435,569,RU5,2488,201202,Explorer,48
436,399,RU5,2585,201202,THE RANGE ROVER,24
437,371,RU5,2428,201202,Q7,20
438,376,RU5,2340,201202,Touareg,20
439,459,RU5,2559,201202,XC90,15
440,573,RU5,2497,201202,MKX,14
441,326,RU5,2058,201202,슈퍼 렉스턴,7
442,546,RU5,2511,201202,Escalade,6
443,349,RU5,2391,201202,M-Class,4
444,307,RM~,2109,201202,카니발 R,2257
445,312,RM~,2140,201202,올란도,1218
446,307,RM~,1984,201202,뉴 카렌스,284
447,413,RM~,2531,201202,3008,54
448,491,RM~,2246,201202,Sienna,42
449,583,RM~,2462,201202,Grand Voyager,6
450,303,O~,1901,201202,포터2,7437
451,303,O~,2009,201202,스타렉스,4034
452,307,O~,1907,201202,봉고3 트럭,3575
453,326,O~,2189,201202,코란도 스포츠,1901
454,316,O~,2049,201202,다마스,541
455,316,O~,2052,201202,라보,358
456,592,O~,3021,201202,Dakota,1
457,307,~C,2132,201203,모닝,8174
458,312,~C,2138,201203,스파크,6422
459,307,~C,2183,201203,레이 (2017),5672
460,316,~C,2049,201203,다마스,602
461,316,~C,2052,201203,라보,325
462,303,PC1,2126,201203,엑센트,2843
463,307,PC1,2175,201203,프라이드,1793
464,367,PC1,2437,201203,Mini,212
465,312,PC1,2143,201203,아베오,185
466,376,PC1,2326,201203,Scirocco,56
467,367,PC1,2448,201203,Coupe,22
468,362,PC1,2782,201203,1 Series,21
469,413,PC1,2522,201203,207,14
470,367,PC1,2440,201203,Convertible,10
471,367,PC1,2442,201203,Clubman,6
472,500,PC1,2271,201203,CR-Z,5
473,459,PC1,2537,201203,C30,3
474,303,PC2,2120,201203,아반떼,10062
475,312,PC2,2135,201203,크루즈,1955
476,303,PC2,2177,201203,i30,1535
477,307,PC2,2061,201203,포르테,1443
478,321,PC2,2089,201203,뉴 SM3,1314
479,376,PC2,2314,201203,Golf,592
480,303,PC2,2152,201203,벨로스터,343
481,371,PC2,2408,201203,A4,315
482,376,PC2,2328,201203,Jetta,239
483,491,PC2,2243,201203,Prius,187
484,307,PC2,2092,201203,포르테 하이브리드,166
485,303,PC2,2200,201203,아반떼 하이브리드,148
486,413,PC2,2525,201203,308,44
487,349,PC2,2380,201203,B-Class,36
488,486,PC2,2237,201203,CT,34
489,500,PC2,2266,201203,CIVIC,26
490,569,PC2,2474,201203,Focus,10
491,486,PC2,2232,201203,IS,8
492,371,PC2,2405,201203,A3,5
493,491,PC2,2252,201203,Corolla,2
494,307,PC3,2118,201203,K5,6945
495,303,PC3,2103,201203,쏘나타(YF),6396
496,321,PC3,2112,201203,뉴 SM5 신형,2479
497,303,PC3,2172,201203,i40,1019
498,303,PC3,2157,201203,쏘나타 하이브리드,1001
499,312,PC3,2180,201203,말리부,995
500,307,PC3,2160,201203,K5 하이브리드,758
501,491,PC3,2240,201203,Camry,619
502,362,PC3,2789,201203,3 Series,525
503,349,PC3,2383,201203,C-Class,331
504,486,PC3,2226,201203,GS,203
505,376,PC3,2863,201203,CC,103
506,394,PC3,2568,201203,XF,91
507,486,PC3,2229,201203,ES,87
508,509,PC3,2274,201203,G,62
509,413,PC3,2528,201203,508,56
510,459,PC3,2542,201203,S60,35
511,371,PC3,2411,201203,A5,29
512,528,PC3,2668,201203,Legacy,25
513,546,PC3,2499,201203,CTS,24
514,569,PC3,3059,201203,FUSION,19
515,459,PC3,2551,201203,V60,7
516,394,PC3,2565,201203,XK,1
517,569,PC3,2477,201203,FUSION,0
518,303,PC4,2129,201203,그랜저HG,8019
519,307,PC4,2106,201203,K7,1309
520,362,PC4,2351,201203,5 Series,1202
521,349,PC4,2385,201203,E-Class,925
522,316,PC4,2123,201203,알페온,690
523,321,PC4,2169,201203,SM7,528
524,371,PC4,2414,201203,A6,520
525,349,PC4,2394,201203,CLS-Class,144
526,362,PC4,2366,201203,Gran Turismo,131
527,500,PC4,2260,201203,Accord,129
528,371,PC4,2417,201203,A7,124
529,514,PC4,2300,201203,ALTIMA,39
530,573,PC4,2494,201203,MKZ,10
531,362,PC4,2354,201203,6 Series,3
532,546,PC4,2502,201203,STS,1
533,303,PC5,2043,201203,제네시스 (BH),1560
534,303,PC5,2075,201203,에쿠스,967
535,307,PC5,2081,201203,오피러스,618
536,362,PC5,2357,201203,7 Series,220
537,326,PC5,2166,201203,체어맨 W,217
538,349,PC5,2388,201203,S-Class,179
539,371,PC5,2420,201203,A8,143
540,583,PC5,2460,201203,300C,138
541,569,PC5,2482,201203,Taurus,138
542,326,PC5,2041,201203,체어맨 H  뉴 클래식,109
543,573,PC5,2947,201203,MKS,59
544,459,PC5,2545,201203,S80,43
545,394,PC5,2562,201203,XJ,38
546,509,PC5,2283,201203,M,36
547,486,PC5,2713,201203,LS,33
548,376,PC5,2343,201203,Phaeton,18
549,390,PC5,2705,201203,New Continental,10
550,385,PC5,2702,201203,Ghost,2
551,307,RB~,2183,201203,레이 (2017),5672
552,307,RB~,2066,201203,쏘울,858
553,514,RB~,2297,201203,CUBE,162
554,307,RU2,2115,201203,스포티지 R,3890
555,303,RU2,2100,201203,투싼 ix,3120
556,326,RU2,2146,201203,코란도 C,1090
557,376,RU2,2337,201203,Tiguan,275
558,367,RU2,2445,201203,Countryman,133
559,587,RU2,2468,201203,Wrangler,87
560,362,RU2,2368,201203,X1,63
561,587,RU2,2471,201203,Compass,49
562,399,RU2,2579,201203,Range Rover Evoque,35
563,569,RU2,2940,201203,ESCAPE,22
564,399,RU2,2574,201203,Freelander2,20
565,528,RU2,2665,201203,Forester,10
566,307,RU3,2078,201203,쏘렌토 R,2245
567,303,RU3,1967,201203,싼타페 (CM),1497
568,312,RU3,2155,201203,캡티바,699
569,321,RU3,2163,201203,QM5,467
570,362,RU3,2371,201203,X3,205
571,500,RU3,2263,201203,CR-V,138
572,371,RU3,2425,201203,Q5,87
573,381,RU3,2639,201203,Cayenne,76
574,349,RU3,2397,201203,GLK-Class,56
575,399,RU3,2576,201203,Discovery,40
576,491,RU3,2249,201203,RAV4,25
577,486,RU3,2234,201203,RX,17
578,459,RU3,2554,201203,XC60,16
579,399,RU3,2582,201203,RANGE ROVER SPORT,13
580,459,RU3,2556,201203,XC70,6
581,509,RU3,2289,201203,FX,5
582,528,RU3,2670,201203,Outback,4
583,514,RU3,2303,201203,MURANO,4
584,514,RU3,2306,201203,ROGUE,3
585,509,RU3,2286,201203,EX,2
586,546,RU3,2508,201203,SRX,2
587,303,RU5,2001,201203,베라크루즈,919
588,307,RU5,2032,201203,모하비,624
589,326,RU5,2058,201203,슈퍼 렉스턴,120
590,569,RU5,2488,201203,Explorer,101
591,362,RU5,2377,201203,X6,92
592,587,RU5,2465,201203,Grand Cherokee,57
593,362,RU5,2374,201203,X5,51
594,573,RU5,2497,201203,MKX,39
595,399,RU5,2585,201203,THE RANGE ROVER,33
596,376,RU5,2340,201203,Touareg,25
597,371,RU5,2428,201203,Q7,13
598,349,RU5,2391,201203,M-Class,9
599,459,RU5,2559,201203,XC90,8
600,546,RU5,2511,201203,Escalade,1
601,509,RU5,2291,201203,QX,1
602,307,RM~,2109,201203,카니발 R,2511
603,312,RM~,2140,201203,올란도,1596
604,307,RM~,1984,201203,뉴 카렌스,254
605,413,RM~,2531,201203,3008,71
606,491,RM~,2246,201203,Sienna,43
607,583,RM~,2462,201203,Grand Voyager,7
608,303,O~,1901,201203,포터2,8105
609,303,O~,2009,201203,스타렉스,4498
610,307,O~,1907,201203,봉고3 트럭,3621
611,326,O~,2189,201203,코란도 스포츠,2249
612,316,O~,2049,201203,다마스,602
613,316,O~,2052,201203,라보,325
614,307,~C,2132,201204,모닝,8598
615,312,~C,2138,201204,스파크,6261
616,307,~C,2183,201204,레이 (2017),4086
617,316,~C,2049,201204,다마스,587
618,316,~C,2052,201204,라보,553
619,303,PC1,2126,201204,엑센트,3410
620,307,PC1,2175,201204,프라이드,1522
621,367,PC1,2437,201204,Mini,312
622,312,PC1,2143,201204,아베오,134
623,413,PC1,2522,201204,207,35
624,376,PC1,2326,201204,Scirocco,31
625,367,PC1,2448,201204,Coupe,29
626,362,PC1,2782,201204,1 Series,25
627,367,PC1,2442,201204,Clubman,14
628,459,PC1,2537,201204,C30,11
629,367,PC1,2451,201204,Roadster,9
630,367,PC1,2440,201204,Convertible,7
631,422,PC1,2514,201204,DS3,6
632,500,PC1,2271,201204,CR-Z,5
633,303,PC2,2120,201204,아반떼,9653
634,312,PC2,2135,201204,크루즈,1856
635,307,PC2,2061,201204,포르테,1696
636,321,PC2,2089,201204,뉴 SM3,1585
637,303,PC2,2177,201204,i30,1467
638,376,PC2,2314,201204,Golf,523
639,303,PC2,2152,201204,벨로스터,429
640,371,PC2,2408,201204,A4,296
641,491,PC2,2243,201204,Prius,247
642,376,PC2,2328,201204,Jetta,238
643,303,PC2,2200,201204,아반떼 하이브리드,144
644,307,PC2,2092,201204,포르테 하이브리드,66
645,486,PC2,2237,201204,CT,57
646,413,PC2,2525,201204,308,52
647,349,PC2,2380,201204,B-Class,48
648,500,PC2,2266,201204,CIVIC,25
649,569,PC2,2474,201204,Focus,22
650,486,PC2,2232,201204,IS,9
651,491,PC2,2252,201204,Corolla,3
652,371,PC2,2405,201204,A3,2
653,307,PC3,2118,201204,K5,7288
