,loc,year,month,day,유의파고 평균,최대파고 최고,최대파고 시간,파주기 평균,파주기 최고,평균풍속,평균 현지기압,평균습도,평균기온,평균수온
0,21229,2016,11,1,2.8,6.1,7,8.3,9.1,8.9,1024.7,70,10.6,20
1,21229,2016,11,2,1.7,3.8,1,5.8,8,6.7,1022.7,69,11.2,19.8
2,21229,2016,11,3,1.7,3.6,8,6.4,7.1,7.9,1019.3,46,13.3,19.7
3,21229,2016,11,4,1.3,3,20,5.5,6.4,7.6,1015.2,51,16.3,19.5
4,21229,2016,11,5,1.8,4.5,24,6,7.1,9.5,1011.7,64,16.5,19.4
5,21229,2016,11,6,3.2,6.3,5,8.6,9.1,9.7,1027.6,66,10.6,19.2
6,21229,2016,11,7,1.5,3.3,2,7.4,9.1,6.9,1023.8,65,14,19
7,21229,2016,11,8,3,6.8,21,8.2,10.7,10.4>,1019.3,75,11,18.5
8,21229,2016,11,9,2.8,6.4,3,9,9.1,6.9,1027.3,61,7.9,18.5
9,21229,2016,11,10,1.6,3.7,24,7.7,10.7,6.8,1022.1,60,11.6,18.7
10,21229,2016,11,상순,2.1,4.8,,7.3,8.6,8.1,1021.4,63,12.3,19.2
11,21229,2016,11,11,1.7,3.6,3,8.2,12.8,7.2,1015.9,54,14.6,18.5
12,21229,2016,11,12,1.3,3,23,5.8,10.7,6.4,1022,54,16.4,18.3
13,21229,2016,11,13,1,2.8,1,5.5,7.1,5.3,1022.3,62,17.5,18.1
14,21229,2016,11,14,0.9,1.9,24,4.4,6.4,6.6,1015.1,81,18.1,18.1
15,21229,2016,11,15,2.4>,5.8>,21>,7.5>,10.7>,8.4>,1017.4,69,12.2,18
16,21229,2016,11,16,1.7>,3.8>,01>,7.4>,9.1>,5.9>,1020.8),56),13.2),17.8)
17,21229,2016,11,17,1.3,2.9,5,6.1,7.1,3.6,1024,64,13.8,17.9
18,21229,2016,11,18,1.0>,2.1>,13>,4.8>,6.4>,6.4>,1019.1,67,16.5,17.9
19,21229,2016,11,19,0.9,1.9,12,5.3,7.1,3.9,1011.9,82,16.1,18
20,21229,2016,11,20,1.5,4.6,18,6.7,9.1,6.4,1019.5,72,14.3,18.1
21,21229,2016,11,중순,1.4,3.2,,6.2,8.7,6,1018.8,66,15.3,18.1
22,21229,2016,11,21,1.2,3.1,1,6.6,9.1,4,1018.8,66,15,18.4
23,21229,2016,11,22,3,7.1,22,8,9.1,10.1,1017.5,82,9.5,18.4
24,21229,2016,11,23,2.7,6,2,8.3,9.1,8.7,1022.6,75,6.9,18.1
25,21229,2016,11,24,2.6>,6.9>,09>,7.6>,8.0>,8.2>,1020.7,70,7.4,17.7
26,21229,2016,11,25,2,4.3,11,6.8,8,7.5,1023.7,54,8.6,17.9
27,21229,2016,11,26,1.4,3,21,5.8,7.1,5.4,1022.4,56,10.5,18.4
28,21229,2016,11,27,1,2.5,20,4.8,6.4,6.5,1018.1,53,11.3,17.6
29,21229,2016,11,28,1.9,4.4,7,7.2,8,6.8>,1022.7,59,9.4,17
30,21229,2016,11,29,1.9,4.3,24,6.8,9.1,8.2,1031.1,57,8.6,17.1
31,21229,2016,11,30,1.7,3.5,22,6.3,9.1,8.4,1026.4,63,10.9,17.1
32,21229,2016,11,하순,1.9,4.5,,6.8,8.3,7.4,1022.4,64,9.8,17.8
33,21229,2016,11,월,1.8,4.2,,6.8,8.5,7.2,1020.9,64,12.5,18.4
34,21229,2016,12,1,2.6,7.6,19,6.9,9.1,10.5,1020.1,50,11.8,16.6
35,21229,2016,12,2,1.9,4.8,1,7.4,9.1,5.2>,1025.5,45,11.3,16.3
36,21229,2016,12,3,1.2,3.3,24,6.3,8,4.4,1023.8,56,14.1,16.3
37,21229,2016,12,4,1.4,2.9,5,5.4,5.8,7.4,1014.6,51,15.5,16.3
38,21229,2016,12,5,1.4,3.4,16,5.5,6.4,7.3,1013.1,55,14.1,16.4
39,21229,2016,12,6,2.8,6.4,8,8.6,9.1,7.7,1020.8,69,6.6,16.2
40,21229,2016,12,7,1.5,3.2,23,6.8,9.1,7.2,1018.4,53,9.6,16.3
41,21229,2016,12,8,1.4,3,18,5.9,7.1,7.1,1016.7,57,10,16.2
42,21229,2016,12,9,2.1,5.9,18,6.3,8,11.1,1013.7,60,9.5,16.1
43,21229,2016,12,10,2.2,5.2,1,8.2,9.1,6.3,1022.8,69,5.5,16.2
44,21229,2016,12,상순,1.9,4.6,,6.7,8.1,7.4,1019,57,10.8,16.3
45,21229,2016,12,11,1.5,3,4,6.8,8,5.2,1026.5,63,6.8,15.7
46,21229,2016,12,12,1.1,2.5,13,5.4,8,6.3,1022.4,52,11.6,15.5)
47,21229,2016,12,13,1.8,6.2,24,6.7,9.1,8.2,1016.8,65,10.5,15.6
48,21229,2016,12,14,3.5>,6.8>,09>,8.7>,10.7>,11.2>,1018.0],71],3.5],15.5]
49,21229,2016,12,15,2.7,8.2,24,8.6,9.1,8.5,1017.6,74,3.2,15.4
50,21229,2016,12,16,2.4>,5.4>,02>,7.9>,9.1>,7.5>,1020.6,59,5.1,15.7
51,21229,2016,12,17,2,4.6,14,7.3,8,5.7,1025,53,9.8,15.4
52,21229,2016,12,18,1.2>,2.2>,14>,6.1>,7.1>,4.0>,1026.9],55],12.2],15.8]
53,21229,2016,12,19,0.8,2.3,1,5.1,6.4,3.8,1024.4,63,13.2,x
54,21229,2016,12,20,0.8>,2.0>,01>,4.5>,5.3>,5.0>,1026.4],67],13.0],15.3]
55,21229,2016,12,중순,1.8,4.3,,6.7,8.1,6.5,1022.5,62,8.9,15.5
56,21229,2016,12,21,0.7,1.7,23,4.1,4.9,5.2,1025.2,73,13.3,15.1
57,21229,2016,12,22,3.2,8.2,8,7.9,9.1,11.6,1004.6,79,13.8,15.3
58,21229,2016,12,23,4.3,9.1,14,11.4,12.8,7.6,1012.8,77,6.6,15.2
59,21229,2016,12,24,4.1,8.4,12,11.9,12.8,7.3,1027,63,6.2,15.1
60,21229,2016,12,25,2.1,5,2,8.6,10.7,6.6,1029.4,62,9.8,15.2
61,21229,2016,12,26,1.4,3.5,5,5.3,8,7.5,1018.5,66,11.4,15.6
62,21229,2016,12,27,3.6,8,19,8.2,9.1,12.5,1016.3,77,4.3,15.6
63,21229,2016,12,28,2.5,7.3,1,8.5,9.1,7,1026.2,58,4.7,15.4
64,21229,2016,12,29,2.4,5.5,20,7,9.1,10.2,1023.2,60,5.3,15.3
65,21229,2016,12,30,1.6>,4.3>,01>,7.1>,8.0>,6.6>,1027.4],48],6.6],15.4]
66,21229,2016,12,31,1.3,3,11,6.3,8,5.7,1026.5,50,8.4,15.1
67,21229,2016,12,하순,2.5,5.8,,7.8,9.2,8,1021.6,65,8.2,15.3
68,21229,2016,12,월,2,4.9,,7.1,8.5,7.3,1021,61,9.3,15.7
69,21229,2017,1,1,1,2.5,15,6,7.1,4.6,1024.9,51,10.2,14.9
70,21229,2017,1,2,1.2,3,24,6,8,5.6,1018.3,52,11.9,14.9
71,21229,2017,1,3,1.6,3.7,12,6.1,7.1,7.5,1019.1,52,10.3,15
72,21229,2017,1,4,1.9,4.4,8,6.5,9.1,7.7,1021.2,58,9.1,15
73,21229,2017,1,5,2.1,3.9,19,6.9,8,9,1028.9,62,5.3,14.9
74,21229,2017,1,6,1.4,2.9,1,7.5,9.1,2.4,1028.1,53,6,14.9
75,21229,2017,1,7,x,x,x,x,x,x,x,x,x,x
76,21229,2017,1,8,1.2,2.9,16,4.9,5.8,5.5,1013.4,65,10.3,14.9
77,21229,2017,1,9,1.9,5.2,16,6.2,8,7.4,1010.4,69,8.7,14.9
78,21229,2017,1,10,2.4,5.4,14,7.4,8,10,1016.0),54,6.5,14.9
79,21229,2017,1,상순,1.6,3.8,,6.4,7.8,6.6,1020,57,8.7,14.9
80,21229,2017,1,11,2.6,5.5,15,7.4,8,11,1018.5,56,3.9,14.7]
81,21229,2017,1,12,2.8,5.7,20,6.9,8,10.9,1011,48,6,14.6
82,21229,2017,1,13,3.2,7.2,7,8,9.1,13.3,1009.4,59,3,14.4
83,21229,2017,1,14,4.2,9.2,21,8.6,9.1,14.7,1015.2,79,-1.2,14.2
84,21229,2017,1,15,3.4,7.3,5,8.8,10.7,11.4,1019.7,63,3.3,14.1
85,21229,2017,1,16,3.3,7.7,3,8.9,10.7,10.9,1024.5,62,4.4,14
86,21229,2017,1,17,2.9,5.7,6,10.6,10.7,4.4,1029.5,63,6,13.9
87,21229,2017,1,18,1.8,3.7,17,7.7,9.1,8.5,1026.1,50,7.7,14
88,21229,2017,1,19,1.2,2.5,19,7,8,3.2,1021.8,62,6.8,13.9
89,21229,2017,1,20,3.1,12,19,7.5,9.1,11.1,1012.9,72,4.8,13.8
90,21229,2017,1,중순,2.9,6.7,,8.1,9.3,9.9,1018.9,61,4.5,14.2
91,21229,2017,1,21,2.9,6.7,2,8.7>,9.1>,6.6,1022.7,57,3.9,13.7
92,21229,2017,1,22,2.9,7.3,17,7.1,9.1,10.6,1018.2,71,1.9,13.6
93,21229,2017,1,23,3.3,7.2,15,8.7,9.1,8.1,1023.4,82,0.2,13.5
94,21229,2017,1,24,2.6,5.2,1,8.7,9.1,7.9,1028.3,73,1.7,13.1
95,21229,2017,1,25,1.4,3.4,1,7.9,9.1,2.2,1030.2,48,4.8,13.6
96,21229,2017,1,26,1.7,5.7,24,6.6,8,8.4,1023.2,49,8.1,12.7
97,21229,2017,1,27,3,6.7,13,8,10.7,10.2,1019.9,52,7.2,11.5
98,21229,2017,1,28,1.3,4.8,1,6.7,9.1,2.3,1025.7,60,6.5,12.6
99,21229,2017,1,29,0.7,1.4,13,6.1,9.1,4.4,1017.2,62,9.4,11.9
100,21229,2017,1,30,2.4,7.9,16,6.7,10.7,11.2,1017,73,3.9,11.7
101,21229,2017,1,31,2,4.6,2,8.1,10.7,5.5,1024.4,53,5.1,13.1
102,21229,2017,1,하순,2.2,5.5,,7.6,9.4,7,1022.7,62,4.8,12.8
103,21229,2017,1,월,2.2,5.4,,7.4,8.9,7.9,1020.6,60,5.9,13.9
104,21229,2017,2,1,1.9,4.6,13,7.2,9.1,9.8,1021.5,53,4.8,13
105,21229,2017,2,2,2.2,5.1,17,8,9.1,10.4,1021.5,48,6.9,12.8]
106,21229,2017,2,3,1.4,3.4,1,7.5,9.1,5.9,1022.4,50,8,12.8
107,21229,2017,2,4,0.9,1.8,3,7.4,9.1,2.3,1019,49,10.1,12.7
108,21229,2017,2,5,0.9,2.8,22,4.7,8,7.1,1008.4,63,9.2,12.7
109,21229,2017,2,6,2.7,6.4,15,7.4,9.1,9.4,1014.7,70,4.8,x
110,21229,2017,2,7,2.4,5.6,2,8.9,9.1,6.4,1023.1,60,3.7,12.6
111,21229,2017,2,8,1.7,3.4,4,8.5,9.1,4.3,1016.5,63,5.4,13
112,21229,2017,2,9,2.9,7.1,18,7.6,9.1,10.7,1006.4,81,2.8,12.7
113,21229,2017,2,10,2.7,5.4,8,8.1,9.1,9.2,1010.1,89,-0.8,10.8
114,21229,2017,2,상순,2,4.6,,7.5,9,7.6,1016.4,63,5.5,12.6
115,21229,2017,2,11,2.9,6.8,16,8.5,10.7,9.5,1017.3,69,1.4,12.1
116,21229,2017,2,12,2.2,5.2,1,8.7,10.7,6.9,1023.9,67,3.5,11.9
117,21229,2017,2,13,1.6,4.5,24,8.2,9.1,4.8,1027.3,64,4.3,11.9
118,21229,2017,2,14,1.7,3.8,1,7.7,9.1,5.5,1030.1,57,4.4,11.8
119,21229,2017,2,15,1,2.7,1,6.9,9.1,4.8,1026.4,53,8.5,11.9
120,21229,2017,2,16,1.9,4.9,21,6.4,8,10.4,1017.2,63,12,11.8
121,21229,2017,2,17,2.3,4.6,3,7.6,9.1,7.2,1015.1,78,7.7,11.8)
122,21229,2017,2,18,2.1,5,15,7,8,7.4,1018.4,72,4,11.9
123,21229,2017,2,19,1.7,5.8,24,6.9,8,7.9,1015.6,53,6.8,11.7
124,21229,2017,2,20,3.3,8.4,24,8.3,10.7,12.1,1009.5,73,6.1,11.7
125,21229,2017,2,중순,2.1,5.2,,7.6,9.3,7.7,1020.1,65,5.9,11.9
126,21229,2017,2,21,3.2,9.5,1,9.6,10.7,6.3,1029.1,59,3,11.6
127,21229,2017,2,22,1.5,3.7,1,7.4,9.1,6.6,1016.4,74,7.6,11.6
128,21229,2017,2,23,2.2,4.7,14,6.6,8,10.5,1011,65,6.1,11.7
129,21229,2017,2,24,1.9,4.3,1,7.9,9.1,7.3,1019.3,50,4.9,11.7
130,21229,2017,2,25,1.5>,3.9>,07>,7.8>,10.7>,6.3>,1018.9,47,6.6,11.7
131,21229,2017,2,26,1.4,3.6,7,6.4,9.1,6.3,1023.2,57,6.4,11.6
132,21229,2017,2,27,1.0>,1.9>,02>,5.1>,7.1>,5.7>,1027.9,51,6.2,11.5
133,21229,2017,2,28,0.9,2,14,4.6,7.1,6.4,1023.8,56,8.9,11.5
134,21229,2017,2,하순,1.7,4.2,,6.9,8.9,6.9,1021.2,57,6.2,11.6
135,21229,2017,2,월,1.9,4.7,,7.4,9,7.4,1019.1,62,5.8,12
136,21229,2017,3,1,0.9,2.2,6,4.6,4.9,6.6,1015.8,67,10.7,11.4
137,21229,2017,3,2,1.9,6.2,15,6.5,9.1,8,1010.1,77,6.2,11.8
138,21229,2017,3,3,1.5,3.7,2,6.8,9.1,5.5,1017.3,58,8,11.6
139,21229,2017,3,4,1.2,2.5,24,5.7,7.1,6.4,1018.2,66,9,11.6
140,21229,2017,3,5,1,2,1,6.4,7.1,5.1,1014.2,70,9.7,11.6
141,21229,2017,3,6,1.8,4.1,11,7,8,7.1,1010.1,72,4.7,11.5
142,21229,2017,3,7,1.9,4.2,15,6.9,8,9.5,1011,73,2,11.5
143,21229,2017,3,8,1.6,3,4,6.8,8,7.4,1009.5,55,4.3,11.3
144,21229,2017,3,9,1.6,3.3,24,6.4,8,7.6,1008.5,55,6.7,11.8
145,21229,2017,3,10,1.4,4.7,6,6.3,8,6.3,1016.4,50,7.1,11.6
146,21229,2017,3,상순,1.5,3.6,,6.3,7.7,7,1013.1,64,6.8,11.6
147,21229,2017,3,11,0.6,1.6,5,5,6.4,4.1>,1022.9,51,9,11.6
148,21229,2017,3,12,1.1,2.3,14,4.6,5.3,8,1019.6,68,10.9,12.1
149,21229,2017,3,13,1.4>,3.5>,15>,6.0>,8.0>,7.4>,1016.6),67),8.5),11.7)
150,21229,2017,3,14,2.0>,4.8>,24>,7.4>,8.0>,9.5>,1016.9,59,6.5,11.1
151,21229,2017,3,15,3.4,6.9,8,9.2,10.7,10.8,1021,62,6.2,11.6
152,21229,2017,3,16,1.6>,4.3>,02>,8.0>,10.7>,2.4>,1021.7,59,7.4,12.2
153,21229,2017,3,17,0.6>,3.6>,15>,6.5>,7.1>,2.4>,1022.4,53,10.1],12.4
154,21229,2017,3,18,0.6,1.4,7,6.7,9.1,4.6,1022.2,66,12,12.5
155,21229,2017,3,19,0.6,1.6,10,5,7.1,4.6,1024.9,65,10.8,12.8
156,21229,2017,3,20,0.6,1.3,21,4.2,6.4,5,1020,66,11.2,12.5
157,21229,2017,3,중순,1.3,3.1,,6.3,7.9,5.9,1020.8,62,9.3,12.1
158,21229,2017,3,21,1.6,4.5,13,6.2,8,7.5,1013.9,60,8.4,12.2
159,21229,2017,3,22,0.9,2.3,1,6.1,7.1,5.4,1018.9,50,9.5,12
160,21229,2017,3,23,1.1,2.7,20,6.7,9.1,6.8,1019.6,59,9.3,12.4
161,21229,2017,3,24,0.8,1.9,1,6.8,8,2.5,1023.3,44,7.2,12.4
162,21229,2017,3,25,0.6,1.3,2,6.1,7.1,3.6,1021.5,50,7.4,12.4
163,21229,2017,3,26,0.5,1.2,24,4.1,6.4,3.7,1018.2,58,8.2,12.3
164,21229,2017,3,27,0.7>,2,24,5.1,7.1,2.6>,1017.2,69,7.7,12.2
165,21229,2017,3,28,1.3,3.8,3,5.9,7.1,6,1021.2,66,8.7,12.2
166,21229,2017,3,29,0.7,1.6,22,4.9,6.4,4.9,1020.7,64,11.1,11.9
167,21229,2017,3,30,0.9,2.2,18,5.1,8,6.1,1020.8,64,11,11.9
168,21229,2017,3,31,1.2,2.3,19,4.9,8,6,1020.4,60,9.1,11.1
169,21229,2017,3,하순,0.9,2.3,,5.6,7.5,5,1019.6,59,8.9,12.1
170,21229,2017,3,월,1.2,3,,6.1,7.7,5.9,1017.9,61,8.3,11.9
171,21229,2017,4,1,1.1,2.4,2,7.6,9.1,4.4,1016.3,56,8.8,10.8
172,21229,2017,4,2,0.8,2.1,5,5.4,7.1,5.1,1016.6,68,8.5,11.2
173,21229,2017,4,3,1,2.6,4,5.3,6.4,5.7,1018.6,67,11.9,11.3
174,21229,2017,4,4,0.6,1.2,24,5.1,6.4,3.4,1022.8,82,12,11.7
175,21229,2017,4,5,1,2.5,24,5.3,6.4,5.8,1019.3,81,12.6,11.2
176,21229,2017,4,6,2.8,8.3,11,7.5,9.1,10.5,1010,90,12.8,11.2
177,21229,2017,4,7,1.3,3.7,3,6.6,8,2.3,1014.2,92,11.2,11.6
178,21229,2017,4,8,0.5,1.1,2,5.3,8,3.8,1011.2,93,10.7,11.2
179,21229,2017,4,9,0.9,2.1,15,4.4,5.3,6,1016.3,62,11.3,11.2
180,21229,2017,4,10,1.2,3,23,5,6.4,6.3,1016.1,61,10.6,11.6
181,21229,2017,4,상순,1.1,2.9,,5.8,7.2,5.3,1016.1,75,11,11.3
182,21229,2017,4,11,1.6,3.1,1,6,7.1,6.5,1003.9,86,10.8,11.5
183,21229,2017,4,12,1.7,4.4,8,6.8,7.1,5.5,1011.7,65,10.1,11.4
184,21229,2017,4,13,1,2.9,24,5.6,6.4,4.3,1014.3,65,12.3,11.6
185,21229,2017,4,14,2.1,6.1,19,6.6,8,8.8,1010.6,74,13.9,12
186,21229,2017,4,15,1.8,4.7,4,7.2,8,6.8,1010.7,82,13.7,12.1
187,21229,2017,4,16,0.8,1.7,3,5.3,6.4,4,1013,79,13.9,12.4
188,21229,2017,4,17,1.2,5.6,23,4.7,7.1,6.9>,1000.2,90,12.8,12.2
189,21229,2017,4,18,2.7,5.5,1,7.8,9.1,7.6,996.8,79,12.5,12.1
190,21229,2017,4,19,2.6,5.6,10,7.7,9.1,7.5,1006.1,61,12.5,11.9
191,21229,2017,4,20,1.6,3.3,3,8.5,10.7,2.7,1011.1,87,12.4,12.1
192,21229,2017,4,중순,1.7,4.3,,6.6,7.9,6.1,1007.8,77,12.5,11.9
193,21229,2017,4,21,1.4,2.7,2,8.8,10.7,4.1,1010.3,78,11.9),12.2
194,21229,2017,4,22,0.8,2,3,7.2,9.1,3,1014,68,11.4,12.6
195,21229,2017,4,23,1,2.9,21,4.4,5.3,7.5,1017,77,13,12.6
196,21229,2017,4,24,1.3,3.2,3,5,5.8,7.4,1018.7,79,14.1,13.2
197,21229,2017,4,25,1.4,3.3,1,5.5,6.4,8.2,1016.9,84,15,13.9
198,21229,2017,4,26,0.8,2.2,6,4.7,5.8,3.2>,1014.7,71,13.7,14
199,21229,2017,4,27,0.7,1.7,10,4.5,6.4,6.1,1009.7,58,13.6,14.1
200,21229,2017,4,28,1.3,3.8,22,5.2,7.1,7.9,1003,71,14.8,14.3
201,21229,2017,4,29,1.4,3.1,4,6.7,8,5.9,1004.8,76,14.5,14.4
202,21229,2017,4,30,1.7,3.9,23,6.7,8,6,1004.8,74,16,14.3
203,21229,2017,4,하순,1.2,2.9,,5.9,7.3,5.9,1011.4,74,13.8,13.6
204,21229,2017,4,월,1.3,3.4,,6.1,7.5,5.8,1011.8,75,12.4,12.3
205,21229,2017,5,1,1.2,3.7,1,6.7,8,4.1,1018.4,70,14.2,14.5
206,21229,2017,5,2,0.6,1.4,23,4.6,6.4,3.9,1024.5,69,14.1,15.1
207,21229,2017,5,3,0.7,1.5,7,5.4,8,4,1022.4,79,14.8,15.5
208,21229,2017,5,4,0.5,1.2,12,3.7,6.4,4.3,1017.5,84,16.4,15.8
209,21229,2017,5,5,0.8,4.1,24,4.2,5.8,5.3,1011.8,86,17.1,16.3
210,21229,2017,5,6,1.8,4.5,1,6.1,8,7.3,1011.4,64,15.7,15.7
211,21229,2017,5,7,1.3,3,7,6.2,8,7,1009.5,59,16.5,15.6
212,21229,2017,5,8,1.2,2.8,9,6.1,7.1,4.3,1010.6,69,16.8,15.4
213,21229,2017,5,9,0.9,2.1,5,5,7.1,5,1011.9,89,15.2,15.5
214,21229,2017,5,10,1,2.1,15,5.6,7.1,4.7,1007.6,86,15.2,15.7
215,21229,2017,5,상순,1,2.6,,5.4,7.2,5,1014.6,76,15.6,15.5
216,21229,2017,5,11,1,2.2,24,5.7,7.1,5.3,1009.6,84,16.4,15.6
217,21229,2017,5,12,1.5,4.5,19,6.4,7.1,7.2,1009,80,17.1,15.2
218,21229,2017,5,13,0.7,2.2,23,4.8,8,5,1005.7,88,15.5,15.5
219,21229,2017,5,14,1.5,3.1,16,5.7,9.1,7,1005.2,69,16.6,15.5
220,21229,2017,5,15,1.6>,3.3>,06>,6.7>,9.1>,5.4>,1009.5,71,15.4,15.2
221,21229,2017,5,16,1,2.1,3,7.9,9.1,3.2,1011,81,15,15.7
222,21229,2017,5,17,0.5,1.1,1,5.9,8,3.3,1011.8,84,15.7,16.3
223,21229,2017,5,18,0.7>,1.5>,15>,4.0>,5.8>,5.9>,1014.1),87),16.4),16.5)
224,21229,2017,5,19,0.7,1.7,24,4.5,4.9,3.9,1012.4,83,17.9,17
225,21229,2017,5,20,0.8>,1.8>,02>,5.3>,5.8>,3.3>,1012.8),83),18.0),17.4)
226,21229,2017,5,중순,1,2.4,,5.7,7.4,5,1010.1,81,16.4,16
227,21229,2017,5,21,0.8>,1.7>,10>,5.0>,5.8>,4.0>,1013.1),81),18.5),17.6)
228,21229,2017,5,22,0.7,1.6,6,4.4,5.3,4.9,1013.8,85,17,17.8
229,21229,2017,5,23,0.5,1.1,11,5.2,6.4,3.4,1010.8,85,17.1,18
230,21229,2017,5,24,0.3,0.9,1,4.9,5.8,2.1,1008.3,85,17.5,18.2
231,21229,2017,5,25,0.8,3.2,24,4.1,5.8,7.7,1002.9,83,17,17.7
232,21229,2017,5,26,2.8,6.3,17,7.8,9.1,11.9,1004.6,74,14.2,16.5
233,21229,2017,5,27,2.1,4.8,2,8,9.1,6,1011.8,75,15.7,16.2
234,21229,2017,5,28,1.1,3.2,23,6.8,8,5.6,1010.9,85,17,16.6
235,21229,2017,5,29,1,3.3,1,5.8,6.4,3.3,1009.6,80,18.3,16.7
236,21229,2017,5,30,0.5,1.2,1,5.1,5.8,2.7>,1008,80,19.1,17.5
237,21229,2017,5,31,0.6,1.2,1,5.1,6.4,3.2,1002.7,87,18.3,17.6
238,21229,2017,5,하순,1,2.6,,5.7,6.7,5,1008.8,82,17.2,17.3
239,21229,2017,5,월,1,2.5,,5.6,7.1,5,1011.1,80,16.4,16.3
240,21229,2017,6,1,0.9,3.5,24,5.1,5.8,4.9,997.9,87,17.5,17.7
241,21229,2017,6,2,2,3.9,14,7.6,10.7,6.2,1003.9,70,16.2,17.3
242,21229,2017,6,3,2.9,6,9,10.7,12.8,4.7,1007.7,75,16.3,17.4
243,21229,2017,6,4,1.8,4.2,1,9.7,10.7,2.2>,1011.3,76,17.7,18
244,21229,2017,6,5,1.1,2.4,1,7.9,9.1,4.2,1017.3,75,16.9,18.1
245,21229,2017,6,6,0.6,1.4,6,5.8,7.1,3.8,1016.8,77,17.3,18.1
246,21229,2017,6,7,1.9,5.5,15,6,8,8,1004.9,89,18,17.7
247,21229,2017,6,8,1.5,3.6,1,6.5,8,4.4,1006.2,80,18.6,17.9
248,21229,2017,6,9,1,2.6,20,5.1,5.8,5.6,1004.2,71,19.9,17.9
249,21229,2017,6,10,1.3,2.9,5,6.3,7.1,4.3,1007,61,18.7,18.1
250,21229,2017,6,상순,1.5,3.6,,7.1,8.5,4.8,1007.7,76,17.7,17.8
251,21229,2017,6,11,0.6,1.8,1,5,9.1,3.6,1010.9,66,18,18.5
252,21229,2017,6,12,1.2,2.4,22,8.4,9.1,4.8,1016.8,71,16.4,18.6
253,21229,2017,6,13,1.2,2.6,12,8,9.1,3,1015.5,67,16.4,18.7
254,21229,2017,6,14,0.7,1.5,3,5.3,7.1,4.8,1009.1,82,18.4,18.8
255,21229,2017,6,15,0.8,1.7,23,4.4,5.3,5.6>,1006.5,80,19.1,18.9
256,21229,2017,6,16,1.3,3.9,15,7,9.1,3.6,1013,76,17.4,19
257,21229,2017,6,17,1,2.4,2,7,8,4.3,1012.5,75,18.2,19.3
258,21229,2017,6,18,0.6,1.4,3,4.7,6.4,3.8,1010.8,79,18.9,19.6
259,21229,2017,6,19,0.5,1,10,4,4.9,4.4,1009.5,89,19.8,19.7
260,21229,2017,6,20,0.9,2,11,4.8,5.8,5,1006.6,87,20.6,19.9
261,21229,2017,6,중순,0.9,2.1,,5.9,7.4,4.3,1011.1,77,18.3,19.1
262,21229,2017,6,21,0.9,2.4,20,5.2,7.1,4.8,1005.6,82,20.3,20.4
263,21229,2017,6,22,0.8,1.8,5,5.3,7.1,2.8>,1007.9,84,21,20.9
264,21229,2017,6,23,0.4,0.8,1,4.9,7.1,2.2,1008,87,20.9,21.6
265,21229,2017,6,24,0.4,0.8,11,4.1,6.4,3,1004.8,86,21.1,21.8
266,21229,2017,6,25,0.3,0.8,1,4,7.1,2,1003.4,81,21.7,22.3
267,21229,2017,6,26,0.6,1.9,23,6.5,8,2.2,1009.1,80,21.7,22.4
268,21229,2017,6,27,1,2.3,4,7.6,8,3.6,1011.7,78,21.4,22.2
269,21229,2017,6,28,0.7,1.7,1,5.2,7.1,4,1013.2,83,21.5,22.3
270,21229,2017,6,29,0.5,1,1,3.8,6.4,4.2,1012,90,22.4,22.4
271,21229,2017,6,30,0.8,1.9,24,5,5.8,4.4,1007.3,89,22.6,22.3
272,21229,2017,6,하순,0.6,1.5,,5.2,7,3.3,1008.3,84,21.5,21.9
273,21229,2017,6,월,1,2.4,,6,7.6,4.1,1009,79,19.2,19.6
274,21229,2017,7,1,1.3,3,4,6,7.1,5.2,1005.3,85,23.5,22.3
275,21229,2017,7,2,1.2,2.4,1,5.7,6.4,4.4,1007.7,89,23.4,22.6
276,21229,2017,7,3,2,4.3,6,6.9,8,8.3,1005.1,90,23,22.4
277,21229,2017,7,4,1,3.2,1,5.7,7.1,2.8,1006,89,22.9,22.7
278,21229,2017,7,5,0.5,1.2,2,5.6,9.1,x,1010.9,81,22.8,23.3
279,21229,2017,7,6,0.4,0.9,24,4,5.3,4,1011.8,88,23,23.4
280,21229,2017,7,7,0.6>,1.9>,24>,4.0>,4.9>,4.8>,1009.6,91,23.8,23.6
281,21229,2017,7,8,1.2,2.4,5,5.5,5.8,5.8,1006.9,91,24,23.6
282,21229,2017,7,9,0.8,1.9,5,5,5.8,4.3,1006.5,90,24.5,24.1
283,21229,2017,7,10,2.2,5.1,16,6.2,7.1,10.5,1002.9,90,24.8,23.6
284,21229,2017,7,상순,1.1,2.6,,5.5,6.7,5.6,1007.3,88,23.6,23.2
285,21229,2017,7,11,2.1,5.4,6,7.1,8,8,1005,87,23.8,23.3
286,21229,2017,7,12,0.7,2.2,2,5.2,7.1,2.9,1008.2,86,24.4,24
287,21229,2017,7,13,0.7,1.9,23,3.9,4.9,5.6,1006.2,88,24,24.1
288,21229,2017,7,14,0.9,2,4,5.1,5.8,5.3,1006.6,88,23.9,24.2
289,21229,2017,7,15,1.2,3,19,5.4,6.4,7,1008.8,86,24.5,24.1
290,21229,2017,7,16,0.9,2.7,2,5.2,6.4,5.2,1010.2,85,24.5,24.1
291,21229,2017,7,17,0.6,1.2,8,5.1,5.8,3.5,1010,85,25,24.7
